track.name,Song_title.x,Artist,Genre,file_name,song_id,danceability,energy,key,key_name,loudness,mode,mode_name,speechiness,acousticness,instrumentalness,liveness,valence,valence_1000songs,std_valence_1000songs,arousal_1000songs,std_arousal_1000songs,tempo,track.id,track.preview_url,track.uri
Roulette,Roulette,Lorenzo's Music,Blues,80.mp3,80,0.725,0.479,9,A,-6.705,0,minor,0.0315,0.0572,0.00434,0.094,0.796,5.1,1.4491,6,1.4142,83.987,0RB0xia9sqTijx5RBtGdLP,https://p.scdn.co/mp3-preview/d9768a4542465149323bdcd2463d7e810e496ab2?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:0RB0xia9sqTijx5RBtGdLP
Swallow Me Up,Swallow Me Up,Mount Carmel,Blues,84.mp3,84,0.2,0.84,4,E,-7.469,0,minor,0.0778,0.0342,0.321,0.155,0.597,5.6,1.8379,5.9,2.1318,163.289,5KYUZMPeH7jPslrmcvwqOQ,https://p.scdn.co/mp3-preview/179b2a351a1c5b47d7b2d82dc61e520c330c556c?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:5KYUZMPeH7jPslrmcvwqOQ
Old Strange,Old Strange,Steve Gunn,Blues,95.mp3,95,0.311,0.389,0,C,-12.867,1,major,0.0273,0.804,0.708,0.107,0.627,4.6,2.319,3.3,1.9465,174.491,1D4Vky2ahLps2vwB41MAse,https://p.scdn.co/mp3-preview/8a0e465efe20cd6ca935f1ddcf76ffed46788892?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:1D4Vky2ahLps2vwB41MAse
Electricity,Electricity,Marisa Anderson,Blues,102.mp3,102,0.4,0.239,2,D,-14.806,1,major,0.0322,0.744,0.882,0.0782,0.0695,5.4,1.6465,6.5,0.97183,142.7,7lmEdG3TLqNpbjT6NPVkcL,https://p.scdn.co/mp3-preview/b9ff281924962eaadd8fd978fc0f6d9eee218feb?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:7lmEdG3TLqNpbjT6NPVkcL
Girl Might Do,Girl Might Do,mojo monkeys,Blues,105.mp3,105,0.745,0.75,5,F,-6.878,1,major,0.0237,0.00519,0.0159,0.398,0.842,5,1.4907,6.5,1.5092,107.942,30VcMMekXm5eMPAufzK3ci,https://p.scdn.co/mp3-preview/55423fa6252c1fab807c74304c58773568d53a1d?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:30VcMMekXm5eMPAufzK3ci
Wander In A Dream,Wander In A Dream,Fit and the Conniptions,Blues,106.mp3,106,0.478,0.283,4,E,-8.628,0,minor,0.0305,0.506,0.0112,0.12,0.365,3.3,1.2517,4.6,1.5776,143.696,1cuLKiCr5mbYMlevxw1NLE,https://p.scdn.co/mp3-preview/ded80d6efeb472a5e4683b476007e739fa2a6da9?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:1cuLKiCr5mbYMlevxw1NLE
Drop Down Low,Drop Down Low,Jawbone,Blues,111.mp3,111,0.767,0.543,7,G,-3.977,1,major,0.0434,0.152,0.853,0.0978,0.786,5.3,1.4944,5.3,1.3375,99.82,1HIoDx9T6mIOtUbLA1ZwiG,https://p.scdn.co/mp3-preview/af48ef73856b306def03d0200139db65919e03e5?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:1HIoDx9T6mIOtUbLA1ZwiG
Mistress Song,Mistress Song,Fit and the Conniptions,Blues,116.mp3,116,0.567,0.507,9,A,-6.941,0,minor,0.118,0.788,2.95e-4,0.0684,0.192,3.9,1.2867,4.4,1.6465,78.749,2oVHVi0m6koSslwBcTHQgh,https://p.scdn.co/mp3-preview/fbc9074a993de7fd04d8df45fecefb35f0f982b4?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:2oVHVi0m6koSslwBcTHQgh
Ethio Song,Ethio Song,Amen Dunes,Blues,119.mp3,119,0.311,0.649,3,D#,-5.677,0,minor,0.0328,0.195,0.614,0.0696,0.36,3.2,1.3166,4.3,2.406,120.658,3KhW7PZVVK1c6FO4DqdVXi,https://p.scdn.co/mp3-preview/e53c8953a5c2fc8f0e383ba35f0aa3f4a9953137?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:3KhW7PZVVK1c6FO4DqdVXi
Mr. Franklin,Mr Franklin,Steve Gunn,Blues,120.mp3,120,0.517,0.41,2,D,-10.353,0,minor,0.027,0.236,0.331,0.269,0.556,5,1.6997,3.8,1.6865,103.075,3tlGHRFZMQXTM6QzCGLtFS,https://p.scdn.co/mp3-preview/661f0137fa371d80e59b70e161003b1926686d64?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:3tlGHRFZMQXTM6QzCGLtFS
Sunset,Sunset,Evgeny Grinko,Classical,127.mp3,127,0.209,0.1,0,C,-21.228,1,major,0.0611,0.995,0.963,0.112,0.94,5.3,1.767,3,1.9437,198.596,5mKBX7FI3fM4xbbOEEc7rV,https://p.scdn.co/mp3-preview/07d258cc9e8dd7107c9be82e7cec4550f0c13123?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:5mKBX7FI3fM4xbbOEEc7rV
Veloma,Veloma,Fabrizio Paterlini,Classical,128.mp3,128,0.302,0.12,7,G,-21.272,0,minor,0.037,0.98,0.887,0.0874,0.218,4,1.633,3.6,1.5055,108.008,7JAS7ebzk6QH4XEamLH9wS,https://p.scdn.co/mp3-preview/c71b22c27d2304c7c4203c497ea5bbf980f41c74?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:7JAS7ebzk6QH4XEamLH9wS
Sneeuwland,Sneeuwland,Oskar Schuster,Classical,129.mp3,129,0.752,0.43,2,D,-16.661,0,minor,0.0322,0.784,0.938,0.0785,0.407,6,1.7638,4.2,1.8135,103.489,1GzVIEDYN2lYzePJGFoRkz,https://p.scdn.co/mp3-preview/0010589961fd311fedeafc44165a8b6027344924?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:1GzVIEDYN2lYzePJGFoRkz
Summers Coming,Summers Coming,Dexter Britain,Classical,134.mp3,134,0.648,0.658,6,F#,-13.603,0,minor,0.0368,0.0159,0.895,0.103,0.461,6,1.2472,5.4,1.8379,93.991,6b2la5Qxqi70AvL9gAhlYM,https://p.scdn.co/mp3-preview/75571d4929a336f8ba796eb144bd4ff80c8fb331?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:6b2la5Qxqi70AvL9gAhlYM
Fourth,Fourth,Mystic Morrison Visions,Classical,136.mp3,136,0.411,0.713,2,D,-7.363,1,major,0.0437,0.0566,0.5,0.0628,0.75,6.2,1.1353,6.8,1.3984,133.547,1RroIksY4qQfBg1kr2LBkW,https://p.scdn.co/mp3-preview/07ceb32ff6a76642646881744cc5228b5151bb53?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:1RroIksY4qQfBg1kr2LBkW
The Passing of Time,The Passing of Time,krackatoa,Classical,144.mp3,144,0.209,0.223,0,C,-14.27,1,major,0.0322,0.489,0.259,0.135,0.149,4.7,0.94868,3.4,1.1738,90.807,3BEUOzkEnKY5LJzrC0R7DJ,https://p.scdn.co/mp3-preview/0fc240965bb67a94144fbaaa3f8c1e91a1ee0615?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:3BEUOzkEnKY5LJzrC0R7DJ
The Forest and the Trees,The Forest and the Trees,Kevin MacLeod,Classical,145.mp3,145,0.279,0.0759,9,A,-18.833,1,major,0.0474,0.994,0.174,0.142,0.101,5.4,2.0111,3.1,2.0248,129.941,5FDNEmra9OD3rEO8gCQ2KD,https://p.scdn.co/mp3-preview/d5e9060a080a790a2eaa190a3c96f6022856c2ad?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:5FDNEmra9OD3rEO8gCQ2KD
Gagool,Gagool,Kevin MacLeod,Classical,149.mp3,149,0.167,0.113,3,D#,-22.927,1,major,0.037,0.877,0.866,0.13,0.0374,3.1,2.0248,3.4,1.9551,90.921,6Rb7y7Vut4CVBrxrk7yoWQ,https://p.scdn.co/mp3-preview/fbbdbfc25dd18cac524a6899b73f31f28a4f31d4?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:6Rb7y7Vut4CVBrxrk7yoWQ
The Tea Party,The Tea Party,Dexter Britain,Classical,152.mp3,152,0.52,0.369,11,B,-16.854,0,minor,0.0349,0.854,0.958,0.124,0.704,5.6,1.5055,4.4,1.7127,151.941,3OQ06WdSzmRPUCUS1FIq0F,https://p.scdn.co/mp3-preview/d4e727597af9bf2c45394f15b6571afa9d82f650?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:3OQ06WdSzmRPUCUS1FIq0F
Blizzard,Blizzard,Evgeny Grinko,Classical,153.mp3,153,0.198,0.148,9,A,-22.677,0,minor,0.0421,0.991,0.922,0.101,0.0922,4.5,1.7795,3.9,2.0248,75.776,2FOwnedhWyYBE7gH5mHHcn,https://p.scdn.co/mp3-preview/d22d7dc90ff05e0133ee16ac2c7beb51f76a0c01?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:2FOwnedhWyYBE7gH5mHHcn
Opening Doors,Opening Doors,Jamie Evans,Classical,157.mp3,157,0.531,0.131,0,C,-15.521,1,major,0.0385,0.748,0.817,0.112,0.11,6.2,1.1353,4,1.7638,107.014,0rEJq3t9y9aSq0s55nGctz,https://p.scdn.co/mp3-preview/33aea52e860edb24536f4eb86f2fc42fc4926e88?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:0rEJq3t9y9aSq0s55nGctz
Le bal de Rémy,Le bal de Rémy,Circus Marcus,Classical,162.mp3,162,0.366,0.396,7,G,-12.988,0,minor,0.0453,0.95,0.787,0.0659,0.15,4.6,1.075,3.7,1.767,91.464,1hznyeWXgDNXvqZZhmnSh6,https://p.scdn.co/mp3-preview/2eb5be2158db161d520a1b6f3f13dc2783b78718?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:1hznyeWXgDNXvqZZhmnSh6
That Kid in Fourth Grade Who Really Liked the Denver Broncos,That Kid in Fourth Grade Who Really Liked the Denver Broncos,Chris Zabriskie,Classical,171.mp3,171,0.45,0.00602,7,G,-30.159,1,major,0.0561,0.996,0.953,0.0873,0.0394,3.6,1.8379,2.1,0.73786,71.247,1WMN9O3A5fYqP84fWnDrxl,https://p.scdn.co/mp3-preview/92ab7767c03213e1558561b8264ba3dc0d73aeca?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:1WMN9O3A5fYqP84fWnDrxl
The Temperature of the Air on the Bow of the Kaleetan,The Temperature of the Air on the Bow of the Kaleetan,Chris Zabriskie,Classical,172.mp3,172,0.328,0.088,10,A#,-18.958,0,minor,0.033,0.977,0.907,0.105,0.0369,5,2.357,3.8,2.3476,68.337,5HhAUQK8AqWpZXgkpgfLoI,https://p.scdn.co/mp3-preview/4919292846afc09b19f98b60a0443e1f09b28895?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:5HhAUQK8AqWpZXgkpgfLoI
O Come O Come Emmanuel,O Come O Come Emmanuel,IKOS David Clifton with the choirs of Peterborough Cathedral,Classical,177.mp3,177,0.52,0.696,4,E,-5.64,0,minor,0.0317,0.263,3.24e-4,0.0637,0.52,5.6,1.8379,4.8,1.4757,100.991,7BCyRaH9nTtD1wfePXjomO,https://p.scdn.co/mp3-preview/f09fff5f92a76bd689dbb4fc253f6b6541939e5c?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:7BCyRaH9nTtD1wfePXjomO
Uno Is Walking,Uno Is Walking,K-Conjog,Classical,178.mp3,178,0.224,0.583,6,F#,-9.189,0,minor,0.0386,0.284,0.00177,0.351,0.13,3.7,2.2136,2.8,2.201,90.088,08mIDUfPBfMJaLtWzvIWCT,https://p.scdn.co/mp3-preview/3846be9cdb17a7c5db20f8f9f9711d0e3a36ea4a?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:08mIDUfPBfMJaLtWzvIWCT
Ghost Dance,Ghost Dance,Kevin MacLeod,Classical,185.mp3,185,0.373,0.0575,2,D,-21.19,0,minor,0.0388,0.943,0.831,0.0721,0.118,4.6,1.4298,4.9,2.0248,99.93,7bE72erlF9mbilalBA8GyV,https://p.scdn.co/mp3-preview/861cc7fec86e8a6fc8af9a51da91198aa236507e?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:7bE72erlF9mbilalBA8GyV
Other Child Room,Other Child Room,Evgeny Grinko,Classical,187.mp3,187,0.702,0.0756,2,D,-21.106,0,minor,0.0658,0.991,0.879,0.0911,0.42,3.7,2.0575,2.5,1.9579,160.053,7w2N0OHlJg7Z5oh7WVE5dM,https://p.scdn.co/mp3-preview/6ab8f0846758a9e2deaf1a314b7e9e50e79d63fa?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:7w2N0OHlJg7Z5oh7WVE5dM
Virtutes Instrumenti,Virtutes Instrumenti,Kevin MacLeod,Classical,190.mp3,190,0.145,0.0627,7,G,-17.584,1,major,0.0424,0.984,0.882,0.121,0.0383,3.1,1.3703,2.8,1.9322,138.625,5vyGsuzNwd0yp7gc8UBdB3,https://p.scdn.co/mp3-preview/a85b8ccca5e63a98dab9731a9055785dc7752841?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:5vyGsuzNwd0yp7gc8UBdB3
Reminiscence,Reminiscence,Jamie Evans,Classical,194.mp3,194,0.374,0.112,5,F,-22.133,1,major,0.0446,0.995,0.913,0.105,0.111,4.7,1.3375,2.7,1.8886,89.897,1tszn6l2qFsgUMOrLX5kcy,https://p.scdn.co/mp3-preview/5d24f8cb6f8cec9e24656286e63f083dc43dd845?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:1tszn6l2qFsgUMOrLX5kcy
Les crocodiles mangent aussi les bonshommes Wizzards,Les crocodiles mangent aussi les bonshommes Wizzards,Circus Marcus,Classical,201.mp3,201,0.609,0.104,2,D,-19.541,1,major,0.0998,0.944,0.877,0.127,0.259,4.8,1.6193,3.7,1.567,106.225,3wUdAH0hdMTicFs2pWtjjg,https://p.scdn.co/mp3-preview/821ba5abd19b3d9fb7c0124b2e1f1cd1fb51b7c7?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:3wUdAH0hdMTicFs2pWtjjg
After Christmas,After Christmas,Dexter Britain,Classical,211.mp3,211,0.447,0.103,8,G#,-23.285,0,minor,0.0295,0.908,0.94,0.109,0.0543,4.9,0.8756,3.1,1.2867,84.975,06Qy3NWIAjN3FeVMuMa47n,https://p.scdn.co/mp3-preview/d858ea1ced1c6109f61fe0b4626ec54733af157c?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:06Qy3NWIAjN3FeVMuMa47n
Haunted,Haunted,Jamie Evans,Classical,217.mp3,217,0.292,0.0577,9,A,-16.003,0,minor,0.0401,0.964,0.824,0.0796,0.0875,4.8,1.6865,3.5,1.6499,137.874,2sDqcuuCkOCPqtJ7wHHBKX,https://p.scdn.co/mp3-preview/4fcd6278560bfe985b6d11a69b16213077a3d20c?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:2sDqcuuCkOCPqtJ7wHHBKX
Gammelvals,Gammelvals,Puh,Classical,240.mp3,240,0.437,0.608,11,B,-7.982,1,major,0.0458,0.292,0.769,0.445,0.602,6.6,1.075,6.4,1.4298,105.422,4zycZUtdp5ZbVFBhoLGlW4,https://p.scdn.co/mp3-preview/b0339d1beb57516a993f40ba8d56acb7b78d8464?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:4zycZUtdp5ZbVFBhoLGlW4
House Rent Jump,House Rent Jump,Peter Case,Country,264.mp3,264,0.334,0.93,0,C,-7.75,1,major,0.137,0.0309,0.0814,0.279,0.686,5.5,1.5811,5.3,1.3375,168.145,6FqWiWqPizSBRfz1hSMp6o,https://p.scdn.co/mp3-preview/3fb460f6140899864f6e3c3d0eace3d27b9be29d?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:6FqWiWqPizSBRfz1hSMp6o
Candy,Candy,Caravan of Thieves,Country,296.mp3,296,0.658,0.53,1,C#,-7.214,1,major,0.071,0.813,0,0.106,0.493,5.7,1.3375,5.9,0.99443,85.984,5yijHp4XqE50obfsgUBGba,https://p.scdn.co/mp3-preview/e9d9dd3fd32e50b92c73f58db4bb648f0d2e58f7?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:5yijHp4XqE50obfsgUBGba
My Friend,My Friend,Wooden Ambulance,Country,297.mp3,297,0.323,0.436,8,G#,-9.483,1,major,0.029,0.307,0.839,0.113,0.201,3.6,1.4298,3.1,1.3703,138.971,2FsbtMmE48yy5OSCwfT5QH,https://p.scdn.co/mp3-preview/df0d2b4a26eb4bdb8bc952da6ff71fb699974259?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:2FsbtMmE48yy5OSCwfT5QH
Obvious,Obvious,Moore & Sons,Country,298.mp3,298,0.56,0.493,4,E,-10.419,1,major,0.0357,0.437,9.44e-5,0.146,0.57,5.4,1.7764,4,1.8257,71.926,6hvdpynhWy1ob4FsdKRx9B,https://p.scdn.co/mp3-preview/f37f56133151a7e4711ede453371aa4889c8ceea?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:6hvdpynhWy1ob4FsdKRx9B
What I Found,What I Found,The Brought Low,Country,300.mp3,300,0.177,0.962,4,E,-4.881,1,major,0.0701,0.00283,0.00155,0.242,0.702,4.5,1.9579,6.8,1.1353,168.258,4JAp0iBUXnA7QC1No82c1x,https://p.scdn.co/mp3-preview/b65f666af3882e1c66ccaad038c56a6d10b5c3b3?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:4JAp0iBUXnA7QC1No82c1x
Rose Room,Rose Room,Jeremy Cohen & Matt Munisteri,Country,304.mp3,304,0.531,0.189,8,G#,-18.532,1,major,0.0482,0.72,0.0646,0.0932,0.79,4.6,1.7764,3.8,1.8738,94.128,21ZM0KeAJYeoeQTiDFptmP,https://p.scdn.co/mp3-preview/976456583b8ab525e0e9891da4a27db1aaefd4b5?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:21ZM0KeAJYeoeQTiDFptmP
Riding Down To Mexico,Riding Down To Mexico,Rex Allen,Country,305.mp3,305,0.709,0.299,7,G,-14.696,1,major,0.0455,0.906,0.00127,0.11,0.784,6.8,1.0328,6.4,1.1738,129.058,0SMCrhJbrir0pBg6ghyP9u,https://p.scdn.co/mp3-preview/6c8e425c9b532561728256ef1ea7206eb9c28169?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:0SMCrhJbrir0pBg6ghyP9u
Ghostwriter,Ghostwriter,Caravan of Thieves,Country,311.mp3,311,0.685,0.662,7,G,-6.04,1,major,0.0511,0.396,4.58e-6,0.0671,0.817,6.9,0.99443,5.8,1.6865,135.8,4MDPPDgEyvvTBXjA4om67x,https://p.scdn.co/mp3-preview/6c6f6eff1c155b6735e0a43356e25b7148e5c1fe?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:4MDPPDgEyvvTBXjA4om67x
Ox Driving Song,Ox Driving Song,Austin Leonard Jones,Country,314.mp3,314,0.579,0.697,2,D,-6.845,1,major,0.0598,0.398,1.2e-4,0.231,0.964,5.9,1.2867,5.8,1.2293,146.815,1C6sMPFUuI87mJAXeLLwvL,https://p.scdn.co/mp3-preview/086bee3fd7e5fb240a2d6df9615c1b89a2cab6ff?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:1C6sMPFUuI87mJAXeLLwvL
The River,The River,Kenny Tudrick,Country,316.mp3,316,0.523,0.353,7,G,-10.798,1,major,0.0303,0.339,0.00129,0.322,0.217,3.5,2.0683,2.8,1.3984,114.012,6C0oKwZduayza7Cy05LCc0,https://p.scdn.co/mp3-preview/a9c79f0f606db34ec5fd63dd072ff9b2e5b2b77f?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:6C0oKwZduayza7Cy05LCc0
I Wanna Say Hello,I Wanna Say Hello,Pee Wee King,Country,322.mp3,322,0.725,0.424,0,C,-11.224,1,major,0.0677,0.919,0,0.156,0.924,7.6,1.075,6.1,1.2867,137.314,7MwPFz1EtqAN4IzK8FhSHk,https://p.scdn.co/mp3-preview/a60aa056dbdd80fb70008c1dc9ca02cdb803b73e?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:7MwPFz1EtqAN4IzK8FhSHk
Birmingham Jail,Birmingham Jail,Chatham County Line,Country,325.mp3,325,0.315,0.576,9,A,-5.638,0,minor,0.0479,0.444,0,0.0871,0.519,5.4,2.1705,5.5,1.8409,165.228,5GzKO1m8Vacz5gXXyFEunE,NA,spotify:track:5GzKO1m8Vacz5gXXyFEunE
Ricky Dee,Ricky Dee,Bandana Splits,Country,327.mp3,327,0.673,0.876,9,A,-5.136,1,major,0.0419,0.792,0,0.147,0.95,7.1,1.3703,6,1.4142,120.783,6rht2AV1nxoMlJtOnXI5WE,https://p.scdn.co/mp3-preview/12f09909fedb97e81b6d1574a9793466df338b1f?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:6rht2AV1nxoMlJtOnXI5WE
Clear Blue Sky,Clear Blue Sky,Chatham County Line,Country,343.mp3,343,0.47,0.74,7,G,-7.737,1,major,0.0295,0.167,0.945,0.275,0.886,8.1,0.8756,7,1.8257,135.764,5SLyEPQQMO55p7hRmnssi1,NA,spotify:track:5SLyEPQQMO55p7hRmnssi1
Goodbye Old Paint,Goodbye Old Paint,Johnny Bond,Country,347.mp3,347,0.704,0.22,4,E,-10.797,1,major,0.0262,0.958,4.79e-4,0.142,0.695,5.8182,0.98165,3.8182,0.98165,75.525,4vm4FwitAofwVZ6ROEInM9,https://p.scdn.co/mp3-preview/e18845e7861ca7badd65edcd729ccc759c800332?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:4vm4FwitAofwVZ6ROEInM9
Birmingham Jail,Birmingham Jail,Johnny Bond,Country,353.mp3,353,0.315,0.576,9,A,-5.638,0,minor,0.0479,0.444,0,0.0871,0.519,4.8,2.1499,4,2.0548,165.228,5GzKO1m8Vacz5gXXyFEunE,NA,spotify:track:5GzKO1m8Vacz5gXXyFEunE
Red Clay Road,Red Clay Road,D. Charles Speer & the Helix,Country,357.mp3,357,0.461,0.717,10,A#,-7.327,1,major,0.0282,0.492,0.721,0.31,0.885,6.5,1.2693,4.8,1.4757,159.927,2UHLlGL2gkAGJIt0Zl0pal,https://p.scdn.co/mp3-preview/33bdd5b89962ac32c842c7512e4e242731c70532?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:2UHLlGL2gkAGJIt0Zl0pal
After Today,After Today,Tift Merritt,Country,367.mp3,367,0.454,0.0957,0,C,-13.864,1,major,0.0359,0.96,4.8e-4,0.11,0.165,2.7,0.67495,3.1,1.6633,79.376,33vOVri0nIS51sDgqyqoDU,NA,spotify:track:33vOVri0nIS51sDgqyqoDU
