track.name,Song_title,danceability,energy,key,key_name,loudness,mode,mode_name,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track.id,track.preview_url,track.uri
Fafa,Fafa,0.435,0.606,10,A#,-5.614,1,major,0.0342,0.724,0.277,0.18,0.374,92.749,67raFTzuOzVFZyEYxbiMxL,https://p.scdn.co/mp3-preview/c032485fe999389aada2365d86d77f5d5a0064d1?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:67raFTzuOzVFZyEYxbiMxL
Nothing's Any Fun Any More,Nothing's Any Fun Any More,0.533,0.275,11,B,-10.253,1,major,0.0435,0.0538,0.92,0.263,0.224,159.904,2cLDzWMrkDtzdyk8zD3n9B,https://p.scdn.co/mp3-preview/33d3baf339141e0f9f23907e194e39010ec53ffa?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:2cLDzWMrkDtzdyk8zD3n9B
Bellbottoms,Bellbottoms,0.391,0.883,2,D,-4.467,1,major,0.216,0.0101,0.1,0.352,0.476,116.968,7sC9FifCXZHgjTAjFO1ykA,NA,spotify:track:7sC9FifCXZHgjTAjFO1ykA
Sixes & Sevens,Sixes & Sevens,0.262,0.455,7,G,-9.586,1,major,0.0452,0.698,0.948,0.0763,0.0337,134.778,2OOHohebtIGuy0bPHCawqb,https://p.scdn.co/mp3-preview/afd467123c8d18441718a85f78787dcf45cfa758?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:2OOHohebtIGuy0bPHCawqb
Roulette,Roulette,0.725,0.479,9,A,-6.705,0,minor,0.0315,0.0572,0.00434,0.094,0.796,83.987,0RB0xia9sqTijx5RBtGdLP,https://p.scdn.co/mp3-preview/d9768a4542465149323bdcd2463d7e810e496ab2?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:0RB0xia9sqTijx5RBtGdLP
Goin' on an Adventure,Goin' on an Adventure,0.694,0.55,8,G#,-7.603,1,major,0.0291,0.45,0,0.189,0.898,115.258,68qkiRJbFsEIQOkfxx4350,https://p.scdn.co/mp3-preview/8ac49c73fea13c2ba4ea1c33e1bb85eb50fcd82b?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:68qkiRJbFsEIQOkfxx4350
Swallow Me Up,Swallow Me Up,0.2,0.84,4,E,-7.469,0,minor,0.0778,0.0342,0.321,0.155,0.597,163.289,5KYUZMPeH7jPslrmcvwqOQ,https://p.scdn.co/mp3-preview/179b2a351a1c5b47d7b2d82dc61e520c330c556c?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:5KYUZMPeH7jPslrmcvwqOQ
Eat At Joe's,Eat At Joe's,0.782,0.405,5,F,-9.658,0,minor,0.0333,0.328,0,0.153,0.241,112.72,3OzUom2zgpqo8zxWE3myeU,NA,spotify:track:3OzUom2zgpqo8zxWE3myeU
Wood For the Trees,Wood For the Trees,0.624,0.313,11,B,-12.169,0,minor,0.0328,0.0235,0.059,0.115,0.147,93.617,2cxB0r6YfNFB3bsKEvLtoW,https://p.scdn.co/mp3-preview/d1a5f52bc92de2367c86725b25ba84ace3da9798?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:2cxB0r6YfNFB3bsKEvLtoW
Waitin',Waitin',0.535,0.904,11,B,-5.701,0,minor,0.0383,0.0206,0.00292,0.0776,0.699,179.926,1BHifdEot6SPVn0KkNehX0,https://p.scdn.co/mp3-preview/5be39c3f6904f5fe6b66d54abcaec7f400005ef4?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:1BHifdEot6SPVn0KkNehX0
Old Strange,Old Strange,0.311,0.389,0,C,-12.867,1,major,0.0273,0.804,0.708,0.107,0.627,174.491,1D4Vky2ahLps2vwB41MAse,https://p.scdn.co/mp3-preview/8a0e465efe20cd6ca935f1ddcf76ffed46788892?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:1D4Vky2ahLps2vwB41MAse
Old Strange,Old Strange,0.311,0.389,0,C,-12.867,1,major,0.0273,0.804,0.708,0.107,0.627,174.491,1D4Vky2ahLps2vwB41MAse,https://p.scdn.co/mp3-preview/8a0e465efe20cd6ca935f1ddcf76ffed46788892?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:1D4Vky2ahLps2vwB41MAse
Aces and Twos,Aces and Twos,0.64,0.688,7,G,-8.351,1,major,0.034,0.538,0.00114,0.105,0.969,130.31,7xg5qRVUAVKpaShA1hyF3D,https://p.scdn.co/mp3-preview/8417466e317281bfdf762daac4c8c6e97f0e75bd?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:7xg5qRVUAVKpaShA1hyF3D
Electricity,Electricity,0.4,0.239,2,D,-14.806,1,major,0.0322,0.744,0.882,0.0782,0.0695,142.7,7lmEdG3TLqNpbjT6NPVkcL,https://p.scdn.co/mp3-preview/b9ff281924962eaadd8fd978fc0f6d9eee218feb?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:7lmEdG3TLqNpbjT6NPVkcL
Girl Might Do,Girl Might Do,0.745,0.75,5,F,-6.878,1,major,0.0237,0.00519,0.0159,0.398,0.842,107.942,30VcMMekXm5eMPAufzK3ci,https://p.scdn.co/mp3-preview/55423fa6252c1fab807c74304c58773568d53a1d?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:30VcMMekXm5eMPAufzK3ci
Wander In A Dream,Wander In A Dream,0.478,0.283,4,E,-8.628,0,minor,0.0305,0.506,0.0112,0.12,0.365,143.696,1cuLKiCr5mbYMlevxw1NLE,https://p.scdn.co/mp3-preview/ded80d6efeb472a5e4683b476007e739fa2a6da9?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:1cuLKiCr5mbYMlevxw1NLE
Giving Away the Bride,Giving Away the Bride,0.674,0.541,9,A,-16.398,0,minor,0.0725,0.437,0.604,0.097,0.582,81.497,5QtlSCyPfpJkbEiodiJmKJ,https://p.scdn.co/mp3-preview/09a8b746e520637245c6da72a17192f6f1d846d5?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:5QtlSCyPfpJkbEiodiJmKJ
Drop Down Low,Drop Down Low,0.767,0.543,7,G,-3.977,1,major,0.0434,0.152,0.853,0.0978,0.786,99.82,1HIoDx9T6mIOtUbLA1ZwiG,https://p.scdn.co/mp3-preview/af48ef73856b306def03d0200139db65919e03e5?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:1HIoDx9T6mIOtUbLA1ZwiG
Big Mamou - Live,Big Mamou - Live,0.422,0.569,4,E,-14.936,1,major,0.0348,0.197,6.14e-6,0.687,0.926,65.364,4YxXKYvA9qmk9CUaMZ82Tz,NA,spotify:track:4YxXKYvA9qmk9CUaMZ82Tz
Mistress Song,Mistress Song,0.567,0.507,9,A,-6.941,0,minor,0.118,0.788,2.95e-4,0.0684,0.192,78.749,2oVHVi0m6koSslwBcTHQgh,https://p.scdn.co/mp3-preview/fbc9074a993de7fd04d8df45fecefb35f0f982b4?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:2oVHVi0m6koSslwBcTHQgh
Ethio Song,Ethio Song,0.311,0.649,3,D#,-5.677,0,minor,0.0328,0.195,0.614,0.0696,0.36,120.658,3KhW7PZVVK1c6FO4DqdVXi,https://p.scdn.co/mp3-preview/e53c8953a5c2fc8f0e383ba35f0aa3f4a9953137?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:3KhW7PZVVK1c6FO4DqdVXi
Mr. Franklin,Mr. Franklin,0.517,0.41,2,D,-10.353,0,minor,0.027,0.236,0.331,0.269,0.556,103.075,3tlGHRFZMQXTM6QzCGLtFS,https://p.scdn.co/mp3-preview/661f0137fa371d80e59b70e161003b1926686d64?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:3tlGHRFZMQXTM6QzCGLtFS
Sunset,Sunset,0.209,0.1,0,C,-21.228,1,major,0.0611,0.995,0.963,0.112,0.94,198.596,5mKBX7FI3fM4xbbOEEc7rV,https://p.scdn.co/mp3-preview/07d258cc9e8dd7107c9be82e7cec4550f0c13123?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:5mKBX7FI3fM4xbbOEEc7rV
Veloma,Veloma,0.302,0.12,7,G,-21.272,0,minor,0.037,0.98,0.887,0.0874,0.218,108.008,7JAS7ebzk6QH4XEamLH9wS,https://p.scdn.co/mp3-preview/c71b22c27d2304c7c4203c497ea5bbf980f41c74?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:7JAS7ebzk6QH4XEamLH9wS
Sneeuwland,Sneeuwland,0.752,0.43,2,D,-16.661,0,minor,0.0322,0.784,0.938,0.0785,0.407,103.489,1GzVIEDYN2lYzePJGFoRkz,https://p.scdn.co/mp3-preview/0010589961fd311fedeafc44165a8b6027344924?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:1GzVIEDYN2lYzePJGFoRkz
Summers Coming,Summers Coming,0.648,0.658,6,F#,-13.603,0,minor,0.0368,0.0159,0.895,0.103,0.461,93.991,6b2la5Qxqi70AvL9gAhlYM,https://p.scdn.co/mp3-preview/75571d4929a336f8ba796eb144bd4ff80c8fb331?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:6b2la5Qxqi70AvL9gAhlYM
Fourth,Fourth,0.411,0.713,2,D,-7.363,1,major,0.0437,0.0566,0.5,0.0628,0.75,133.547,1RroIksY4qQfBg1kr2LBkW,https://p.scdn.co/mp3-preview/07ceb32ff6a76642646881744cc5228b5151bb53?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:1RroIksY4qQfBg1kr2LBkW
Aux Puces nº5,Aux Puces nº5,0.489,0.111,7,G,-16.202,1,major,0.106,0.942,0.843,0.0828,0.247,86.733,0FWy9LfbtShbG9T9ucv65r,https://p.scdn.co/mp3-preview/8711c77f63a9707ccf34ff375ce18693c04d7dad?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:0FWy9LfbtShbG9T9ucv65r
The Passing of Time,The Passing of Time,0.209,0.223,0,C,-14.27,1,major,0.0322,0.489,0.259,0.135,0.149,90.807,3BEUOzkEnKY5LJzrC0R7DJ,https://p.scdn.co/mp3-preview/0fc240965bb67a94144fbaaa3f8c1e91a1ee0615?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:3BEUOzkEnKY5LJzrC0R7DJ
The Forest and the Trees,The Forest and the Trees,0.279,0.0759,9,A,-18.833,1,major,0.0474,0.994,0.174,0.142,0.101,129.941,5FDNEmra9OD3rEO8gCQ2KD,https://p.scdn.co/mp3-preview/d5e9060a080a790a2eaa190a3c96f6022856c2ad?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:5FDNEmra9OD3rEO8gCQ2KD
Bending Light Infinity,Bending Light Infinity,0.353,0.568,0,C,-3.703,1,major,0.0328,0.643,0.176,0.214,0.115,120.387,31FZlgG4pIWX0wi5rDWHQL,https://p.scdn.co/mp3-preview/19b487e2cdcc1e62d282b84446c3cbbfadf0240b?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:31FZlgG4pIWX0wi5rDWHQL
Gagool,Gagool,0.167,0.113,3,D#,-22.927,1,major,0.037,0.877,0.866,0.13,0.0374,90.921,6Rb7y7Vut4CVBrxrk7yoWQ,https://p.scdn.co/mp3-preview/fbbdbfc25dd18cac524a6899b73f31f28a4f31d4?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:6Rb7y7Vut4CVBrxrk7yoWQ
The Tea Party,The Tea Party,0.52,0.369,11,B,-16.854,0,minor,0.0349,0.854,0.958,0.124,0.704,151.941,3OQ06WdSzmRPUCUS1FIq0F,https://p.scdn.co/mp3-preview/d4e727597af9bf2c45394f15b6571afa9d82f650?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:3OQ06WdSzmRPUCUS1FIq0F
Blizzard,Blizzard,0.198,0.148,9,A,-22.677,0,minor,0.0421,0.991,0.922,0.101,0.0922,75.776,2FOwnedhWyYBE7gH5mHHcn,https://p.scdn.co/mp3-preview/d22d7dc90ff05e0133ee16ac2c7beb51f76a0c01?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:2FOwnedhWyYBE7gH5mHHcn
Opening Doors,Opening Doors,0.531,0.131,0,C,-15.521,1,major,0.0385,0.748,0.817,0.112,0.11,107.014,0rEJq3t9y9aSq0s55nGctz,https://p.scdn.co/mp3-preview/33aea52e860edb24536f4eb86f2fc42fc4926e88?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:0rEJq3t9y9aSq0s55nGctz
5:00 AM,5:00 AM,0.365,0.0327,5,F,-31.195,0,minor,0.0558,0.993,0.898,0.0681,0.0736,138.002,0nzdyTkS1QLmlqZYOgrSLw,https://p.scdn.co/mp3-preview/9539a6f7fa8c6baa4c5309308ee1fd9c8e396f80?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:0nzdyTkS1QLmlqZYOgrSLw
Le bal de Rémy,Le bal de Rémy,0.366,0.396,7,G,-12.988,0,minor,0.0453,0.95,0.787,0.0659,0.15,91.464,1hznyeWXgDNXvqZZhmnSh6,https://p.scdn.co/mp3-preview/2eb5be2158db161d520a1b6f3f13dc2783b78718?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:1hznyeWXgDNXvqZZhmnSh6
That Kid in Fourth Grade Who Really Liked the Denver Broncos,That Kid in Fourth Grade Who Really Liked the Denver Broncos,0.45,0.00602,7,G,-30.159,1,major,0.0561,0.996,0.953,0.0873,0.0394,71.247,1WMN9O3A5fYqP84fWnDrxl,https://p.scdn.co/mp3-preview/92ab7767c03213e1558561b8264ba3dc0d73aeca?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:1WMN9O3A5fYqP84fWnDrxl
The Temperature of the Air on the Bow of the Kaleetan,The Temperature of the Air on the Bow of the Kaleetan,0.328,0.088,10,A#,-18.958,0,minor,0.033,0.977,0.907,0.105,0.0369,68.337,5HhAUQK8AqWpZXgkpgfLoI,https://p.scdn.co/mp3-preview/4919292846afc09b19f98b60a0443e1f09b28895?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:5HhAUQK8AqWpZXgkpgfLoI
War and Peace,War and Peace,0.208,0.243,2,D,-15.771,1,major,0.0327,0.889,0.911,0.114,0.0368,78.914,5MNQG6hqfljmBruR0iSJXn,https://p.scdn.co/mp3-preview/94f94e7a90964febf2393d1de52549dc585f37c7?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:5MNQG6hqfljmBruR0iSJXn
O Come O Come Emmanuel,O Come O Come Emmanuel,0.52,0.696,4,E,-5.64,0,minor,0.0317,0.263,3.24e-4,0.0637,0.52,100.991,7BCyRaH9nTtD1wfePXjomO,https://p.scdn.co/mp3-preview/f09fff5f92a76bd689dbb4fc253f6b6541939e5c?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:7BCyRaH9nTtD1wfePXjomO
Uno Is Walking,Uno Is Walking,0.224,0.583,6,F#,-9.189,0,minor,0.0386,0.284,0.00177,0.351,0.13,90.088,08mIDUfPBfMJaLtWzvIWCT,https://p.scdn.co/mp3-preview/3846be9cdb17a7c5db20f8f9f9711d0e3a36ea4a?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:08mIDUfPBfMJaLtWzvIWCT
The Time to Run (Finale),The Time to Run (Finale),0.472,0.24,8,G#,-17.834,1,major,0.035,0.849,0.892,0.103,0.348,120.007,0w44RXWnVqjPU037XopNlP,https://p.scdn.co/mp3-preview/12109ebc3aa783cb6c68b8d72a01a2b893e163a8?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:0w44RXWnVqjPU037XopNlP
Ghost Dance,Ghost Dance,0.373,0.0575,2,D,-21.19,0,minor,0.0388,0.943,0.831,0.0721,0.118,99.93,7bE72erlF9mbilalBA8GyV,https://p.scdn.co/mp3-preview/861cc7fec86e8a6fc8af9a51da91198aa236507e?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:7bE72erlF9mbilalBA8GyV
Other Child Room,Other Child Room,0.702,0.0756,2,D,-21.106,0,minor,0.0658,0.991,0.879,0.0911,0.42,160.053,7w2N0OHlJg7Z5oh7WVE5dM,https://p.scdn.co/mp3-preview/6ab8f0846758a9e2deaf1a314b7e9e50e79d63fa?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:7w2N0OHlJg7Z5oh7WVE5dM
Virtutes Instrumenti,Virtutes Instrumenti,0.145,0.0627,7,G,-17.584,1,major,0.0424,0.984,0.882,0.121,0.0383,138.625,5vyGsuzNwd0yp7gc8UBdB3,https://p.scdn.co/mp3-preview/a85b8ccca5e63a98dab9731a9055785dc7752841?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:5vyGsuzNwd0yp7gc8UBdB3
Variatio 1. a 1 Clav.,Variatio 1. a 1 Clav.,0.483,0.431,7,G,-19.108,1,major,0.04,0.977,0.853,0.145,0.961,103.283,3rWUTyxx4i6O5RYxHhgOxf,https://p.scdn.co/mp3-preview/e220356d7e614158f474f4298affba6085c30cbc?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:3rWUTyxx4i6O5RYxHhgOxf
Reminiscence,Reminiscence,0.374,0.112,5,F,-22.133,1,major,0.0446,0.995,0.913,0.105,0.111,89.897,1tszn6l2qFsgUMOrLX5kcy,https://p.scdn.co/mp3-preview/5d24f8cb6f8cec9e24656286e63f083dc43dd845?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:1tszn6l2qFsgUMOrLX5kcy
Les crocodiles mangent aussi les bonshommes Wizzards,Les crocodiles mangent aussi les bonshommes Wizzards,0.609,0.104,2,D,-19.541,1,major,0.0998,0.944,0.877,0.127,0.259,106.225,3wUdAH0hdMTicFs2pWtjjg,https://p.scdn.co/mp3-preview/821ba5abd19b3d9fb7c0124b2e1f1cd1fb51b7c7?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:3wUdAH0hdMTicFs2pWtjjg
Prelude No. 7,Prelude No. 7,0.268,0.125,5,F,-23.43,1,major,0.0532,0.987,0.9,0.117,0.0343,114.097,2ZDz9DPuNbr7J22BJ5iFxW,https://p.scdn.co/mp3-preview/9c4b7028257b81674dbac797a36da6b81b48d987?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:2ZDz9DPuNbr7J22BJ5iFxW
After Christmas,After Christmas,0.447,0.103,8,G#,-23.285,0,minor,0.0295,0.908,0.94,0.109,0.0543,84.975,06Qy3NWIAjN3FeVMuMa47n,https://p.scdn.co/mp3-preview/d858ea1ced1c6109f61fe0b4626ec54733af157c?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:06Qy3NWIAjN3FeVMuMa47n
Haunted,Haunted,0.292,0.0577,9,A,-16.003,0,minor,0.0401,0.964,0.824,0.0796,0.0875,137.874,2sDqcuuCkOCPqtJ7wHHBKX,https://p.scdn.co/mp3-preview/4fcd6278560bfe985b6d11a69b16213077a3d20c?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:2sDqcuuCkOCPqtJ7wHHBKX
After the Week I've Had,After the Week I've Had,0.286,0.386,0,C,-15.184,1,major,0.0413,0.86,0.937,0.119,0.231,76.009,5vN6sA6f84X8Ec2t3bGsJ2,https://p.scdn.co/mp3-preview/c11eaf6056d431d62f741ae0847706e904cced13?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:5vN6sA6f84X8Ec2t3bGsJ2
Gammelvals,Gammelvals,0.437,0.608,11,B,-7.982,1,major,0.0458,0.292,0.769,0.445,0.602,105.422,4zycZUtdp5ZbVFBhoLGlW4,https://p.scdn.co/mp3-preview/b0339d1beb57516a993f40ba8d56acb7b78d8464?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:4zycZUtdp5ZbVFBhoLGlW4
Silent Night (Duet with Jane Siberry),Silent Night (Duet with Jane Siberry),0.141,0.413,7,G,-9.044,1,major,0.034,0.484,6.07e-4,0.11,0.111,81.553,6g9qe91VAGG4r4I4UyOEUg,https://p.scdn.co/mp3-preview/31bf0b5db0581604024e19cd7938a1a5a2dd5314?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:6g9qe91VAGG4r4I4UyOEUg
Original Rags,Original Rags,0.479,0.113,7,G,-23.64,1,major,0.0363,0.992,0.898,0.0821,0.867,101.752,7GaQHOVjblmzXpMRughUMV,https://p.scdn.co/mp3-preview/7a3a03a833399f014c8ee4e84f7b110a242f8acf?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:7GaQHOVjblmzXpMRughUMV
The Entertainer,The Entertainer,0.489,0.147,5,F,-24.483,1,major,0.0701,0.993,0.856,0.0981,0.79,160.274,6DWIm1TfM9WiCNQeLbbAsd,NA,spotify:track:6DWIm1TfM9WiCNQeLbbAsd
House Rent Jump,House Rent Jump,0.334,0.93,0,C,-7.75,1,major,0.137,0.0309,0.0814,0.279,0.686,168.145,6FqWiWqPizSBRfz1hSMp6o,https://p.scdn.co/mp3-preview/3fb460f6140899864f6e3c3d0eace3d27b9be29d?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:6FqWiWqPizSBRfz1hSMp6o
"The Smiler - Percy Wenrich, 1907","The Smiler - Percy Wenrich, 1907",0.431,0.276,5,F,-15.891,1,major,0.0456,0.984,0.881,0.138,0.881,103.334,631uzoUvMCcnJAZMyJU8Dn,https://p.scdn.co/mp3-preview/741ce44301dc4f6bdc7fc0863c5528512dab1dcf?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:631uzoUvMCcnJAZMyJU8Dn
Pine Apple Rag,Pine Apple Rag,0.313,0.178,10,A#,-24.59,1,major,0.0544,0.993,0.835,0.0968,0.52,169.714,5MI9eNLuAgEZzK5GqZACRK,https://p.scdn.co/mp3-preview/7ed49c590afa15a41b2755b11793a20f20c874fe?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:5MI9eNLuAgEZzK5GqZACRK
Chinese Blues,Chinese Blues,0.612,0.162,7,G,-22.97,1,major,0.0385,0.993,0.897,0.141,0.576,99.363,56tNrQ0i4ki8Igb5Af1ZBe,https://p.scdn.co/mp3-preview/6d8357917a000aa97c27a982d222795c5392a48a?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:56tNrQ0i4ki8Igb5Af1ZBe
My Friend,My Friend,0.323,0.436,8,G#,-9.483,1,major,0.029,0.307,0.839,0.113,0.201,138.971,2FsbtMmE48yy5OSCwfT5QH,https://p.scdn.co/mp3-preview/df0d2b4a26eb4bdb8bc952da6ff71fb699974259?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:2FsbtMmE48yy5OSCwfT5QH
Candy,Candy,0.658,0.53,1,C#,-7.214,1,major,0.071,0.813,0,0.106,0.493,85.984,5yijHp4XqE50obfsgUBGba,https://p.scdn.co/mp3-preview/e9d9dd3fd32e50b92c73f58db4bb648f0d2e58f7?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:5yijHp4XqE50obfsgUBGba
Obvious,Obvious,0.56,0.493,4,E,-10.419,1,major,0.0357,0.437,9.44e-5,0.146,0.57,71.926,6hvdpynhWy1ob4FsdKRx9B,https://p.scdn.co/mp3-preview/f37f56133151a7e4711ede453371aa4889c8ceea?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:6hvdpynhWy1ob4FsdKRx9B
What I Found,What I Found,0.177,0.962,4,E,-4.881,1,major,0.0701,0.00283,0.00155,0.242,0.702,168.258,4JAp0iBUXnA7QC1No82c1x,https://p.scdn.co/mp3-preview/b65f666af3882e1c66ccaad038c56a6d10b5c3b3?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:4JAp0iBUXnA7QC1No82c1x
